Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
4015,Polyot Sirena,null,1U,,,Russia,N
4016,Pond Air Express,null,,PND,POND AIR,United States,N
4017,Pont International Airline Services,null,,PSI,PONT,Suriname,N
4018,Pool Aviation,null,,PLX,POOLEX,United Kingdom,N
4019,Port Townsend Airways,null,,PTQ,TOWNSEND,United States,N
4020,Porteadora De Cosola,null,,POR,PORTEADORA,Mexico,N
4021,Porter Airlines,null,PD,POE,PORTER AIR,Canada,Y
4022,Portugalia,null,NI,PGA,PORTUGALIA,Portugal,Y
4023,Portuguese Air Force,null,,AFP,PORTUGUESE AIR FORCE,Portugal,N
4024,Portuguese Army,null,,POA,PORTUGUESE ARMY,Portugal,N
4025,Portuguese Navy,null,,PON,PORTUGUESE NAVY,Portugal,N
4026,Potomac Air,null,BK,PDC,DISTRICT,United States,Y
4027,Potosina Del Aire,null,,PSN,POTOSINA,Mexico,N
4028,Powell Air,null,,PWL,POWELL AIR,Canada,N
4029,Prairie Flying Service,null,,PFS,PRAIRIE,United States,N
4030,Pratt and Whitney Canada,null,,PWC,PRATT,Canada,N
4031,Precision Air,null,PW,PRF,PRECISION AIR,Tanzania,Y
4032,Precision Airlines,null,,PRE,PRECISION,United States,N
4033,Premiair,null,,BAT,BALLISTIC,Luxembourg,N
4034,Premiair Aviation Services,null,,PGL,PREMIERE,United Kingdom,N
4035,Premiair Fliyng Club,null,,PME,ADUR,United Kingdom,N
4036,Premium Air Shuttle,null,,EMI,BLUE SHUTTLE,Nigeria,N
4037,Premium Aviation,null,,PMU,PREMIUM,Germany,N
4038,Presidence Du Faso,null,,BFA,,Burkina Faso,N
4039,Presidencia de La Republica de Guinea Ecuatorial,null,,ONM,,Equatorial Guinea,N
4040,President Airlines,null,TO,PSD,,Cambodia,N
4041,Presidential Aviation,null,,PRD,PRESIDENTIAL,United States,N
4042,Priester Aviation,null,,PWA,PRIESTER,United States,N
4043,Primair,null,,PMM,PRIMAVIA,Russia,N
4044,Primaris Airlines,null,FE,WCP,WHITECAP,United States,N
4045,Primas Courier,null,,PMC,PRIMAC,United States,N
4046,Primavia Limited,null,,CRY,CARRIERS,United Kingdom,N
4047,Prime Air,null,,PRM,PRIME AIR,United States,N
4048,Prime Aviation,null,,PKZ,PRAVI,Kazakhstan,N
4049,Prince Edward Air,null,,CME,COMET,Canada,N
4050,Princely Jets,null,,PJP,PRINCELY JETS,Pakistan,N
4051,Princess Air,null,8Q,,,,N
4052,Princeton Aviation Corporation,null,,PCN,PRINCETON,United States,N
4053,Priority Air Charter,null,,PRY,PRIORITY AIR,United States,N
4054,Priority Air Transport,null,,PAT,PAT,United States,N
4055,Priority Aviation Company,null,,BCK,BANKCHECK,United States,N
4056,Privatair,null,,PTI,PRIVATAIR,Switzerland,Y
4057,Private Jet Expeditions,null,,PJE,PEE JAY,United States,N
4058,Private Jet Management,null,,PJA,PRIVATE FLIGHT,United States,N
4059,Private Wings Flugcharter,null,8W,PWF,PRIVATE WINGS,Germany,N
4060,Privilege Style L,null,,PVG,PRIVILEGE,Spain,N
4061,Pro Air,null,,PRH,PROHAWK,United States,N
4062,Pro Air Service,null,,PSZ,POP-AIR,United States,N
4063,Probiz Guinee,null,,GIY,PROBIZ,Guinea,N
4064,Professional Express Courier Service,null,,PAD,AIR PROFESSIONAL,United States,N
4065,Professione VOlare,null,,PVL,VOLARE,Italy,N
4066,Proflight Commuter Services,null,P0,,,Zambia,Y
4067,Promotora Industria Totolapa,null,,PTT,TOTOLAPA,Mexico,N
4068,Propair,null,,PRO,PROPAIR,Canada,N
4069,Propflight Air Services,null,,PFZ,PROFLIGHT-ZAMBIA,Zambia,N
4070,Propheter Aviation,null,,PPA,AIR PROP,United States,N
4071,Proteus Helicopteres,null,,PTH,PROTEUS,France,N
4072,Providence Airline,null,,PTL,PLANTATION,United States,N
4073,Providence Aviation Services,null,,AWD,,Pakistan,N
4074,Provincial Airlines,null,,SPR,SPEEDAIR,Canada,N
4075,Provincial Express,null,,PRV,PROVINCIAL,Canada,N
4076,Pskovavia,null,,PSW,PSKOVAVIA,Russia,N
4077,Psudiklat Perhubungan Udara/PLP,null,,UDA,UDARA,Indonesia,N
4078,Ptarmigan Airways,null,,PTA,PTARMIGAN,Canada,N
4079,Publiservicios Aereos,null,,PSP,PUBLISERVICIOS,Mexico,N
4080,Publivoo,null,,PUV,PUBLIVOO,Portugal,N
4081,Puerto Rico National Guard,null,,PNG,,United States,N
4082,Puerto Vallarta Taxi Aereo,null,,TXV,TAXIVALLARTA,Mexico,N
4083,Pulkovo Aircraft Services,null,,PGH,,Russia,N
4084,Puma Linhas Aereas,null,,PLY,PUMA BRASIL,Brazil,N
4085,Puntavia Air Services,null,,PTV,PUNTAVIA,Djibouti,N
4086,Punto Fa,null,,MGO,MANGO,Spain,N
4087,Pyramid Air Lines,null,,PYR,PYAIR,Egypt,N
4088,Qanot Sharq,null,,QNT,QANAT SHARQ,Uzbekistan,N
4089,Qantas,Qantas Airways,QF,QFA,QANTAS,Australia,Y
4090,Qatar Air Cargo,null,,QAC,QATAR CARGO,Qatar,N
4091,Qatar Airways,null,QR,QTR,QATARI,Qatar,Y
4092,Qatar Amiri Flight,null,,QAF,AMIRI,Qatar,N
4093,Qeshm Air,null,,IRQ,QESHM AIR,Iran,N
4094,Quantex Environmental,null,,QTX,AIR QUANTEX,Canada,N
4095,Quebec Government Air Service,null,,QUE,QUEBEC,Canada,N
4096,Queen Air,null,,QNA,QUEEN AIR,Dominican Republic,N
4097,Quest Diagnostics,null,,LBQ,LABQUEST,United States,N
4098,Quick Air Jet Charter,null,,QAJ,DAGOBERT,Germany,N
4099,Quick Airways Holland,null,,QAH,QUICK,Netherlands,N
4100,Quisqueya Airlines,null,,QAS,QUISQUEYA,Haiti,N
4101,Qurinea Air Service,null,,QAQ,QURINEA AIR,Libya,N
4102,Qwest Commuter Corporation,null,,QCC,QWEST AIR,United States,N
4103,Qwestair,null,,QWA,,Australia,N
4104,Qwila Air,null,,QWL,Q-CHARTER,South Africa,N
4105,RA Jet Aeroservicios,null,,RJT,RA JET,Mexico,N
4106,RACSA,null,R6,,,Guatemala,Y
